,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity
3811,KMT-2016-BLG-1836L b,23160.0,2.2 Jupiters,,2019,Gas Giant,1.19 x Jupiter,3.5 AU,9.4 years,0.0
3812,KMT-2016-BLG-2142L b,22867.0,15.49 Jupiters,,2018,Gas Giant,1.09 x Jupiter,0.83 AU,2.9 years,0.0
3813,KMT-2017-BLG-0165L b,14777.0,34 Earths,,2018,Neptune-like,0.575 x Jupiter,3.45 AU,7.4 years,0.0
3814,KMT-2017-BLG-1038L b,19572.0,2 Jupiters,,2019,Gas Giant,1.19 x Jupiter,1.8 AU,4 years,0.0
3815,KMT-2017-BLG-1146L b,21203.0,0.71 Jupiters,,2019,Gas Giant,1.25 x Jupiter,1.6 AU,3.5 years,0.0
3816,KMT-2018-BLG-0029L b,11026.0,7.59 Earths,,2020,Neptune-like,0.238 x Jupiter,4.27 AU,8.3 years,0.0
3817,KMT-2018-BLG-1292L b,11287.0,4.42 Jupiters,,2020,Gas Giant,1.15 x Jupiter,6.03 AU,14.2 years,0.0
3818,KMT-2018-BLG-1990L b,3154.0,0.348 Jupiters,,2019,Gas Giant,1.15 x Jupiter,0.763 AU,2.2 years,0.0
3819,KMT-2019-BLG-1339L b,19963.0,1.25 Jupiters,,2020,Gas Giant,1.22 x Jupiter,2.15 AU,4.6 years,0.0
3820,KMT-2019-BLG-1953L b,22964.0,0.64 Jupiters,,2020,Gas Giant,1.26 x Jupiter,Unknown,365 days,0.0
3821,KOI-1257 b,2936.0,1.45 Jupiters,14.867,2014,Gas Giant,0.94 x Jupiter,0.382 AU,86.6 days,0.77
3822,KOI-12 b,1318.0,1.1 Jupiters,11.253,2015,Gas Giant,1.23 x Jupiter,0.154 AU,17.9 days,0.34
3823,KOI-13 b,1354.0,9.28 Jupiters,9.958,2011,Gas Giant,1.512 x Jupiter,0.03641 AU,1.8 days,0.0
3824,KOI-142 b,1106.0,9.5 Earths,13.11,2013,Neptune-like,0.307 x Jupiter,Unknown,10.9 days,0.06
3825,KOI-142 c,1106.0,0.674 Jupiters,13.11,2013,Gas Giant,1.25 x Jupiter,0.15525 AU,22.3 days,0.06
3826,KOI-1599.01,3813.0,4.6 Earths,14.854,2019,Super Earth,1.9 x Earth,0.14728 AU,20.4 days,0.01
3827,KOI-1599.02,3813.0,9 Earths,14.854,2019,Super Earth,1.9 x Earth,0.112293 AU,13.6 days,0.01
3828,KOI-1783.01,2896.0,0.22339 Jupiters,13.906,2020,Gas Giant,0.79 x Jupiter,Unknown,134.5 days,0.0
3829,KOI-1783.02,2896.0,15 Earths,13.906,2020,Neptune-like,0.485 x Jupiter,Unknown,284.2 days,0.0
3830,KOI-217 b,2610.0,Unknown,15.101,2010,Gas Giant,1.11 x Jupiter,0.0477 AU,3.9 days,0.0
3831,KOI-3680 b,3088.0,1.93 Jupiters,14.77,2018,Gas Giant,0.99 x Jupiter,0.534 AU,141.2 days,0.5
3832,KOI-55 b,3849.0,0.44 Earths,14.87,2011,Terrestrial,0.759 x Earth,0.006 AU,0.2 days,0.0
3833,KOI-55 c,3849.0,0.655 Earths,14.87,2011,Terrestrial,0.867 x Earth,0.0076 AU,0.3 days,0.0
3834,KOI-94 b,1578.0,10.5 Earths,12.188,2013,Super Earth,1.71 x Earth,0.05119 AU,3.7 days,0.25
3835,KOI-94 c,1578.0,15.6 Earths,12.188,2013,Neptune-like,0.385 x Jupiter,0.1013 AU,10.4 days,0.43
3836,KOI-94 d,1578.0,0.334 Jupiters,12.188,2013,Gas Giant,1.005 x Jupiter,0.1684 AU,22.3 days,0.02
3837,KOI-94 e,1578.0,35 Earths,12.188,2013,Neptune-like,0.585 x Jupiter,0.3046 AU,54.3 days,0.02
3838,KPS-1 b,863.0,1.09 Jupiters,13.033,2018,Gas Giant,1.03 x Jupiter,0.0269 AU,1.7 days,0.0
3839,L 168-9 b,82.0,4.6 Earths,11.014,2020,Super Earth,1.39 x Earth,0.02091 AU,1.4 days,< 0.21
3840,L 98-59 b,35.0,1.01 Earths,11.685,2019,Super Earth,0.8 x Earth,0.02282 AU,2.3 days,< 0.12
3841,L 98-59 c,35.0,2.42 Earths,11.685,2019,Super Earth,1.35 x Earth,0.0317 AU,3.7 days,< 0.07
3842,L 98-59 d,35.0,2.31 Earths,11.685,2019,Super Earth,1.57 x Earth,0.0506 AU,7.5 days,< 0.09
3843,LHS 1140 b,49.0,6.98 Earths,14.18,2017,Super Earth,1.727 x Earth,0.0936 AU,24.7 days,< 0.06
3844,LHS 1140 c,49.0,1.81 Earths,14.18,2018,Super Earth,1.282 x Earth,0.02675 AU,3.8 days,< 0.31
3845,LHS 1815 b,97.0,8.7 Earths,12.15,2020,Super Earth,1.088 x Earth,0.0404 AU,3.8 days,0.0
3846,LHS 3844 b,49.0,2.25 Earths,15.26,2019,Super Earth,1.303 x Earth,0.00622 AU,0.5 days,0.0
3847,LkCa 15 b,518.0,Unknown,12.025,2015,Unknown,Unknown,14.7 AU,Infinity years,0.0
3848,LkCa 15 c,518.0,Unknown,12.025,2015,Unknown,Unknown,18.6 AU,Infinity years,0.0
3849,LP 791-18 b,86.0,1.46 Earths,16.9,2019,Super Earth,1.12 x Earth,0.00969 AU,0.9 days,0.0
3850,LP 791-18 c,86.0,5.95 Earths,16.9,2019,Neptune-like,0.206 x Jupiter,0.029392 AU,5 days,0.0
