,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity
931,HD 88133 b,241.0,1.02 Jupiters,8.01,2004,Gas Giant,1.23 x Jupiter,0.0479 AU,3.4 days,0.03
932,HD 89307 b,105.0,2.11 Jupiters,7.009,2009,Gas Giant,1.19 x Jupiter,3.27 AU,5.9 years,0.2
933,HD 89345 b,433.0,34.9613 Earths,9.376,2018,Neptune-like,0.66 x Jupiter,0.1066 AU,11.8 days,0.22
934,HD 89744 b,126.0,8.35 Jupiters,5.72,1999,Gas Giant,1.12 x Jupiter,0.917 AU,256.8 days,0.68
935,HD 90156 b,72.0,17.98 Earths,6.92,2009,Neptune-like,0.395 x Jupiter,0.25 AU,49.8 days,0.31
936,HD 9174 b,266.0,1.11 Jupiters,8.4,2016,Gas Giant,1.23 x Jupiter,2.2 AU,3.2 years,0.12
937,HD 92788 b,113.0,3.76 Jupiters,7.31,2000,Gas Giant,1.16 x Jupiter,0.97 AU,325.8 days,0.35
938,HD 92788 c,113.0,3.67 Jupiters,7.31,2019,Gas Giant,1.16 x Jupiter,10.5 AU,31.8 years,0.46
939,HD 92987 b,142.0,16.88 Jupiters,7.03,2019,Gas Giant,1.09 x Jupiter,9.62 AU,28.4 years,0.21
940,HD 93083 b,93.0,0.37 Jupiters,8.3,2005,Gas Giant,1.2 x Jupiter,0.477 AU,143.6 days,0.14
941,HD 9446 b,164.0,0.7 Jupiters,8.369,2009,Gas Giant,1.25 x Jupiter,0.189 AU,30.1 days,0.2
942,HD 9446 c,164.0,1.82 Jupiters,8.369,2009,Gas Giant,1.2 x Jupiter,0.654 AU,192.9 days,0.06
943,HD 94834 b,321.0,1.26 Jupiters,7.6,2018,Gas Giant,1.22 x Jupiter,2.74 AU,4.3 years,0.14
944,HD 95086 b,282.0,5 Jupiters,7.36,2013,Gas Giant,1.15 x Jupiter,55.7 AU,328.8 years,0.0
945,HD 95089 b,448.0,1.26 Jupiters,7.92,2009,Gas Giant,1.22 x Jupiter,1.36 AU,464.4 days,0.12
946,HD 95089 c,448.0,3.45 Jupiters,7.92,2018,Gas Giant,1.17 x Jupiter,3.33 AU,4.9 years,0.28
947,HD 95127 b,2250.0,10.63 Jupiters,8.15,2015,Gas Giant,1.11 x Jupiter,1.28 AU,482 days,0.11
948,HD 95338 b,121.0,0.13353 Jupiters,8.611,2020,Gas Giant,0.347 x Jupiter,0.262 AU,55.1 days,0.2
949,HD 95872 b,236.0,3.74 Jupiters,9.895,2015,Gas Giant,1.16 x Jupiter,5.15 AU,12 years,0.06
950,HD 96063 b,459.0,1.27 Jupiters,8.21,2011,Gas Giant,1.22 x Jupiter,1.11 AU,362.5 days,0.17
951,HD 96127 b,1949.0,20.96 Jupiters,7.43,2011,Gas Giant,1.08 x Jupiter,1.42 AU,1.8 years,0.3
952,HD 96167 b,279.0,0.717 Jupiters,8.09,2009,Gas Giant,1.25 x Jupiter,1.332 AU,498 days,0.69
953,HD 97048 b,603.0,2.5 Jupiters,8.447,2019,Gas Giant,1.18 x Jupiter,130.0 AU,957.3 years,0.0
954,HD 97658 b,70.0,9.5349 Earths,7.71,2010,Super Earth,0.21 x Jupiter,0.0796 AU,9.5 days,0.06
955,HD 98219 b,372.0,1.964 Jupiters,8.05,2011,Gas Giant,1.2 x Jupiter,1.26 AU,433.8 days,0.08
956,HD 98649 b,138.0,6.79 Jupiters,8.0,2012,Gas Giant,1.13 x Jupiter,6.57 AU,16.5 years,0.86
957,HD 98736 b,106.0,2.33 Jupiters,7.93,2018,Gas Giant,1.19 x Jupiter,1.864 AU,2.7 years,0.23
958,HD 99109 b,179.0,0.44 Jupiters,9.1,2005,Gas Giant,1.28 x Jupiter,1.11 AU,439.3 days,0.09
959,HD 99492 b,59.0,22.2481 Earths,7.58,2004,Neptune-like,0.448 x Jupiter,0.12 AU,17 days,0.25
960,HD 99706 b,480.0,1.23 Jupiters,7.65,2011,Gas Giant,1.22 x Jupiter,1.98 AU,2.3 years,0.25
961,HD 99706 c,480.0,5.69 Jupiters,7.65,2018,Gas Giant,1.14 x Jupiter,Unknown,3.5 years,0.41
962,HIP 105854 b,257.0,8.2 Jupiters,5.64,2014,Gas Giant,1.12 x Jupiter,0.81 AU,184.2 days,0.02
963,HIP 107772 b,77.0,12.9 Earths,10.54,2020,Neptune-like,0.325 x Jupiter,0.243 AU,55.2 days,0.18
964,HIP 107773 b,338.0,1.98 Jupiters,5.62,2015,Gas Giant,1.19 x Jupiter,0.72 AU,144.3 days,0.09
965,HIP 109384 b,183.0,1.56 Jupiters,9.63,2016,Gas Giant,1.21 x Jupiter,1.134 AU,499.5 days,0.55
966,HIP 109600 b,191.0,2.68 Jupiters,9.16,2016,Gas Giant,1.18 x Jupiter,0.706 AU,232.1 days,0.16
967,HIP 116454 b,204.0,12.7132 Earths,10.19,2014,Super Earth,0.22 x Jupiter,0.0906 AU,9.1 days,0.2
968,HIP 12961 b,76.0,0.36 Jupiters,10.24,2010,Gas Giant,1.18 x Jupiter,0.25 AU,57.4 days,0.17
969,HIP 14810 b,165.0,3.9 Jupiters,8.52,2005,Gas Giant,1.16 x Jupiter,0.0696 AU,6.7 days,0.14
970,HIP 14810 c,165.0,1.31 Jupiters,8.52,2006,Gas Giant,1.22 x Jupiter,0.549 AU,147.7 days,0.16
971,HIP 14810 d,165.0,0.59 Jupiters,8.52,2009,Gas Giant,1.26 x Jupiter,1.94 AU,2.7 years,0.19
972,HIP 35173 b,108.0,12.7 Earths,9.01,2019,Neptune-like,0.322 x Jupiter,0.217 AU,41.5 days,0.16
973,HIP 38594 b,58.0,8.1 Earths,9.77,2020,Neptune-like,0.247 x Jupiter,0.256 AU,60.7 days,0.17
974,HIP 38594 c,58.0,0.15228 Jupiters,9.77,2020,Gas Giant,0.708 x Jupiter,3.805 AU,9.5 years,0.16
975,HIP 41378 b,348.0,8.75 Earths,8.93,2016,Neptune-like,0.259 x Jupiter,Unknown,15.6 days,0.0
976,HIP 41378 c,348.0,7.08 Earths,8.93,2016,Neptune-like,0.228 x Jupiter,Unknown,31.7 days,0.0
977,HIP 41378 d,348.0,14.9 Earths,8.93,2016,Neptune-like,0.353 x Jupiter,Unknown,3.1 years,0.0
978,HIP 41378 e,348.0,26 Earths,8.93,2016,Neptune-like,0.492 x Jupiter,Unknown,131 days,0.0
979,HIP 41378 f,348.0,0.233 Jupiters,8.93,2016,Gas Giant,0.91 x Jupiter,Unknown,3 years,0.0
980,HIP 4845 b,69.0,14.4 Earths,9.99,2020,Neptune-like,0.347 x Jupiter,0.176 AU,34.2 days,0.25
981,HIP 48714 b,34.0,22.9 Earths,8.97,2020,Neptune-like,0.456 x Jupiter,0.112 AU,17.8 days,0.5
982,HIP 5158 b,169.0,1.42 Jupiters,10.167,2009,Gas Giant,1.21 x Jupiter,0.89 AU,345.7 days,0.52
983,HIP 5158 c,169.0,15.04 Jupiters,10.167,2011,Gas Giant,1.09 x Jupiter,7.7 AU,24.7 years,0.14
984,HIP 54373 b,61.0,8.62 Earths,10.38,2019,Neptune-like,0.256 x Jupiter,0.063 AU,7.8 days,0.2
985,HIP 54373 c,61.0,12.44 Earths,10.38,2019,Neptune-like,0.318 x Jupiter,0.099 AU,15.1 days,0.2
986,HIP 57274 b,84.0,6.3566 Earths,8.98,2011,Neptune-like,0.214 x Jupiter,0.07 AU,8.1 days,0.19
987,HIP 57274 c,84.0,0.40902 Jupiters,8.98,2011,Gas Giant,1.27 x Jupiter,0.178 AU,32 days,0.05
988,HIP 57274 d,84.0,0.5267 Jupiters,8.98,2011,Gas Giant,1.27 x Jupiter,1.01 AU,431.7 days,0.27
989,HIP 63242 b,513.0,9.18 Jupiters,6.871,2013,Gas Giant,1.12 x Jupiter,0.565 AU,124.6 days,0.23
990,HIP 65407 b,181.0,0.428 Jupiters,9.42,2016,Gas Giant,1.28 x Jupiter,0.177 AU,28.1 days,0.14
991,HIP 65407 c,181.0,0.784 Jupiters,9.42,2016,Gas Giant,1.24 x Jupiter,0.316 AU,67.3 days,0.12
992,HIP 65426 b,363.0,9 Jupiters,6.982,2017,Gas Giant,1.5 x Jupiter,92.0 AU,630.7 years,0.0
993,HIP 65891 b,444.0,6 Jupiters,6.75,2015,Gas Giant,1.14 x Jupiter,2.81 AU,3 years,0.13
994,HIP 65 A b,202.0,3.213 Jupiters,11.13,2020,Gas Giant,2.03 x Jupiter,0.01782 AU,1 days,0.0
995,HIP 67522 b,415.0,0.228 Jupiters,9.802,2020,Gas Giant,0.898 x Jupiter,Unknown,7 days,0.06
996,HIP 67537 b,367.0,11.1 Jupiters,6.44,2017,Gas Giant,1.11 x Jupiter,4.91 AU,7 years,0.59
997,HIP 67851 b,215.0,1.38 Jupiters,6.17,2015,Gas Giant,1.21 x Jupiter,0.46 AU,88.9 days,0.05
998,HIP 67851 c,215.0,6.3 Jupiters,6.17,2015,Gas Giant,1.14 x Jupiter,3.82 AU,5.8 years,0.17
999,HIP 70849 b,79.0,9 Jupiters,10.36,2009,Gas Giant,1.12 x Jupiter,20.25 AU,47.5 years,0.72
1000,HIP 71135 b,106.0,18.8 Earths,10.542,2019,Neptune-like,0.406 x Jupiter,0.335 AU,87.2 days,0.21
1001,HIP 74890 b,298.0,2.4 Jupiters,7.05,2016,Gas Giant,1.18 x Jupiter,2.1 AU,2.3 years,0.07
1002,HIP 78530 b,511.0,23 Jupiters,7.192,2010,Gas Giant,1.07 x Jupiter,740.0 AU,12738.7 years,0.0
1003,HIP 79098 AB b,477.0,20.5 Jupiters,5.86,2019,Gas Giant,1.08 x Jupiter,345.0 AU,3311 years,0.0
1004,HIP 79431 b,47.0,2.1 Jupiters,11.34,2009,Gas Giant,1.19 x Jupiter,0.36 AU,111.7 days,0.29
1005,HIP 8541 b,550.0,5.5 Jupiters,7.88,2016,Gas Giant,1.14 x Jupiter,2.8 AU,4.3 years,0.16
1006,HIP 91258 b,150.0,1.09 Jupiters,8.646,2013,Gas Giant,1.23 x Jupiter,0.06 AU,5.1 days,0.02
1007,HIP 97233 b,335.0,20 Jupiters,7.34,2014,Gas Giant,1.08 x Jupiter,2.55 AU,2.9 years,0.61
1008,HN Pegasi b,59.0,21.9987 Jupiters,5.95,2006,Gas Giant,1.051 x Jupiter,773.0 AU,20503.2 years,0.0
1009,HR 2562 b,111.0,30 Jupiters,6.11,2016,Gas Giant,1.11 x Jupiter,20.3 AU,80.3 years,0.0
1010,HR 5183 b,103.0,3.23 Jupiters,6.3,2019,Gas Giant,1.17 x Jupiter,18.0 AU,74 years,0.84
1011,HR 810 b,57.0,2.27 Jupiters,5.41,1999,Gas Giant,1.19 x Jupiter,0.92 AU,302.8 days,0.14
1012,HR 858 b,104.0,5 Earths,6.4,2019,Super Earth,2.085 x Earth,0.048 AU,3.6 days,< 0.3
1013,HR 858 c,104.0,4.42 Earths,6.4,2019,Super Earth,1.939 x Earth,0.0674 AU,6 days,< 0.19
1014,HR 858 d,104.0,5.32 Earths,6.4,2019,Neptune-like,2.164 x Earth,0.1027 AU,11.2 days,< 0.28
1015,HR 8799 b,129.0,7 Jupiters,5.953,2008,Gas Giant,1.2 x Jupiter,68.0 AU,465.8 years,0.0
1016,HR 8799 c,129.0,10 Jupiters,5.953,2008,Gas Giant,1.2 x Jupiter,38.0 AU,189 years,< 0.5
1017,HR 8799 d,129.0,10 Jupiters,5.953,2008,Gas Giant,1.2 x Jupiter,24.0 AU,101.4 years,< 0.6
1018,HR 8799 e,129.0,10 Jupiters,5.953,2010,Gas Giant,1.17 x Jupiter,16.4 AU,57 years,0.15
1019,HU Aquarii AB b,627.0,5.9 Jupiters,16.472,2011,Gas Giant,1.14 x Jupiter,3.6 AU,6.5 years,0.0
1020,HU Aquarii AB c,627.0,4.5 Jupiters,16.472,2011,Gas Giant,1.15 x Jupiter,5.4 AU,12 years,0.51
1021,HW Virginis b,590.0,14.48228 Jupiters,10.692,2012,Gas Giant,1.09 x Jupiter,4.69 AU,12.7 years,0.4
1022,IC 4651 9122 b,2869.0,6.3 Jupiters,10.534,2018,Gas Giant,1.14 x Jupiter,2.038 AU,2 years,0.18
1023,Iota Draconis b,103.0,8.82 Jupiters,3.29,2002,Gas Giant,1.12 x Jupiter,1.275 AU,1.4 years,0.71
1024,K2-100 b,620.0,12.6 Earths,10.651,2016,Neptune-like,0.32 x Jupiter,0.0296 AU,1.7 days,0.0
1025,K2-101 b,618.0,4.66 Earths,12.957,2016,Super Earth,2.0 x Earth,Unknown,14.7 days,0.1
1026,K2-102 b,617.0,2.24 Earths,13.2,2016,Super Earth,1.3 x Earth,Unknown,9.9 days,0.1
1027,K2-104 b,620.0,4.5 Earths,15.395,2016,Super Earth,1.96 x Earth,0.023 AU,2 days,0.09
1028,K2-105 b,650.0,30 Earths,11.752,2017,Neptune-like,0.301 x Jupiter,0.0796 AU,8.3 days,0.0
1029,K2-107 b,2273.0,0.84 Jupiters,12.92,2017,Gas Giant,1.426 x Jupiter,0.0475 AU,3.3 days,0.0
1030,K2-108 b,1582.0,0.18689 Jupiters,12.33,2017,Gas Giant,0.476 x Jupiter,0.0581 AU,4.7 days,0.18
1031,K2-10 b,895.0,27 Earths,12.418,2015,Neptune-like,0.343 x Jupiter,0.137 AU,19.3 days,0.31
1032,K2-110 b,381.0,16.7 Earths,11.915,2017,Super Earth,0.228 x Jupiter,0.1027 AU,13.9 days,0.08
1033,K2-111 b,657.0,8.6 Earths,11.137,2017,Super Earth,1.9 x Earth,0.0621 AU,5.4 days,0.0
1034,K2-113 b,2119.0,1.29 Jupiters,13.684,2017,Gas Giant,1.083 x Jupiter,0.0642 AU,5.8 days,0.0
1035,K2-114 b,1581.0,1.85 Jupiters,14.556,2017,Gas Giant,0.952 x Jupiter,0.0954 AU,11.4 days,0.0
1036,K2-115 b,1365.0,0.84 Jupiters,13.362,2017,Gas Giant,1.076 x Jupiter,0.143 AU,20.3 days,0.14
1037,K2-116 b,161.0,0.257 Earths,10.91,2017,Terrestrial,0.69 x Earth,0.048 AU,4.7 days,0.06
1038,K2-117 b,333.0,4.78 Earths,14.655,2017,Super Earth,2.03 x Earth,0.0189 AU,1.3 days,0.06
1039,K2-117 c,333.0,4.9 Earths,14.655,2017,Super Earth,2.06 x Earth,0.0492 AU,5.4 days,0.15
1040,K2-118 b,1059.0,6.99 Earths,14.049,2017,Neptune-like,0.227 x Jupiter,0.245 AU,50.9 days,0.2
1041,K2-119 b,1206.0,6.94 Earths,14.883,2017,Neptune-like,0.226 x Jupiter,0.0698 AU,7.7 days,0.07
1042,K2-11 b,1084.0,0.14 Jupiters,13.386,2015,Gas Giant,0.674 x Jupiter,0.2257 AU,39.9 days,0.0
1043,K2-120 b,944.0,4.7 Earths,14.045,2017,Super Earth,2.01 x Earth,0.078 AU,9.6 days,0.14
1044,K2-121 b,556.0,0.138 Jupiters,13.319,2017,Gas Giant,0.669 x Jupiter,0.0525 AU,5.2 days,0.22
1045,K2-122 b,235.0,1.92 Earths,13.15,2017,Super Earth,1.21 x Earth,0.0285 AU,2.2 days,0.21
1046,K2-123 b,530.0,8.05 Earths,14.781,2017,Neptune-like,0.246 x Jupiter,0.1649 AU,31 days,0.06
1047,K2-124 b,458.0,8.75 Earths,15.462,2017,Neptune-like,0.259 x Jupiter,0.049 AU,6.4 days,0.08
1048,K2-125 b,406.0,5.39 Earths,16.122,2017,Neptune-like,2.18 x Earth,0.121 AU,21.8 days,0.08
1049,K2-126 b,337.0,4.54 Earths,12.918,2017,Super Earth,1.97 x Earth,0.0656 AU,7.4 days,0.06
1050,K2-127 b,2362.0,0.167 Jupiters,15.037,2017,Gas Giant,0.747 x Jupiter,0.0411 AU,3.6 days,0.12
1051,K2-128 b,375.0,2.6 Earths,12.627,2017,Super Earth,1.42 x Earth,0.056 AU,5.7 days,0.23
1052,K2-129 b,91.0,1.12 Earths,13.63,2017,Super Earth,1.04 x Earth,0.057 AU,8.2 days,0.13
1053,K2-12 b,1074.0,6.04 Earths,12.258,2015,Neptune-like,0.208 x Jupiter,0.0802 AU,8.3 days,0.0
1054,K2-130 b,386.0,2.1 Earths,12.759,2017,Super Earth,1.25 x Earth,0.032 AU,2.5 days,0.17
1055,K2-131 b,501.0,6.3 Earths,12.115,2017,Super Earth,1.7 x Earth,0.0095 AU,0.4 days,0.0
1056,K2-132 b,2024.0,0.49 Jupiters,11.897,2017,Gas Giant,1.3 x Jupiter,0.0916 AU,9.2 days,0.29
1057,K2-133 b,245.0,2.36 Earths,14.288,2017,Super Earth,1.34 x Earth,0.03194 AU,3.1 days,0.0
1058,K2-133 c,245.0,3.2 Earths,14.288,2017,Super Earth,1.603 x Earth,0.04341 AU,4.9 days,0.0
1059,K2-133 d,245.0,4.67 Earths,14.288,2017,Super Earth,2.003 x Earth,0.07487 AU,11 days,0.0
1060,K2-133 e,245.0,3.64 Earths,14.288,2019,Super Earth,1.73 x Earth,0.1346 AU,26.6 days,0.0
1061,K2-136 b,194.0,0.937 Earths,10.855,2017,Terrestrial,0.99 x Earth,Unknown,8 days,0.1
1062,K2-136 c,194.0,8.8 Earths,10.855,2017,Neptune-like,0.26 x Jupiter,0.11728 AU,17.3 days,0.13
1063,K2-136 d,194.0,2.7 Earths,10.855,2017,Super Earth,1.45 x Earth,Unknown,25.6 days,0.14
1064,K2-137 b,323.0,0.5 Jupiters,15.498,2017,Terrestrial,0.89 x Earth,0.0058 AU,0.2 days,0.0
1065,K2-138 b,597.0,3.09 Earths,12.21,2017,Super Earth,1.57 x Earth,0.0338 AU,2.4 days,< 0.403
1066,K2-138 c,597.0,6.9 Earths,12.21,2017,Neptune-like,0.225 x Jupiter,0.04454 AU,3.6 days,< 0.296
1067,K2-138 d,597.0,7.56 Earths,12.21,2017,Neptune-like,0.237 x Jupiter,0.05883 AU,5.4 days,< 0.348
1068,K2-138 e,597.0,10.8 Earths,12.21,2017,Neptune-like,0.294 x Jupiter,0.07807 AU,8.3 days,< 0.315
1069,K2-138 f,597.0,8.3 Earths,12.21,2017,Neptune-like,0.251 x Jupiter,0.1043 AU,12.8 days,< 0.364
1070,K2-139 b,504.0,0.387 Jupiters,11.653,2017,Gas Giant,0.813 x Jupiter,0.1796 AU,28.4 days,0.12
1071,K2-13 b,1128.0,4.23 Earths,12.901,2015,Super Earth,1.89 x Earth,0.2114 AU,39.9 days,0.0
1072,K2-140 b,1114.0,1.019 Jupiters,12.624,2017,Gas Giant,1.093 x Jupiter,0.0687 AU,6.6 days,0.12
1073,K2-141 b,202.0,5.08 Earths,11.389,2018,Super Earth,1.51 x Earth,0.00716 AU,0.3 days,0.0
1074,K2-141 c,202.0,7.4 Earths,11.389,2018,Neptune-like,0.624 x Jupiter,Unknown,7.7 days,0.0
1075,K2-146 b,259.0,5.77 Earths,16.248,2018,Super Earth,2.05 x Earth,0.0259 AU,2.6 days,0.13
1076,K2-146 c,259.0,7.49 Earths,16.248,2019,Super Earth,2.19 x Earth,Unknown,4 days,0.08
1077,K2-147 b,287.0,2.48 Earths,14.019,2018,Super Earth,1.38 x Earth,0.0159 AU,1 days,0.0
1078,K2-148 b,395.0,2.33 Earths,13.507,2018,Super Earth,1.33 x Earth,0.0454 AU,4.4 days,0.0
1079,K2-148 c,395.0,3.64 Earths,13.507,2018,Super Earth,1.73 x Earth,0.0616 AU,6.9 days,0.0
1080,K2-148 d,395.0,3.33 Earths,13.507,2018,Super Earth,1.64 x Earth,0.0774 AU,9.8 days,0.0
1081,K2-149 b,385.0,3.33 Earths,14.484,2018,Super Earth,1.64 x Earth,0.083 AU,11.3 days,0.0
1082,K2-14 b,1200.0,20.7 Earths,16.31,2015,Neptune-like,0.429 x Jupiter,0.0627 AU,8.4 days,0.14
1083,K2-150 b,359.0,4.66 Earths,15.829,2018,Super Earth,2.0 x Earth,0.0727 AU,10.6 days,0.0
1084,K2-151 b,227.0,2.83 Earths,14.14,2018,Super Earth,1.49 x Earth,0.0373 AU,3.8 days,0.0
1085,K2-152 b,355.0,5.86 Earths,13.728,2018,Neptune-like,0.204 x Jupiter,0.1716 AU,32.6 days,0.0
1086,K2-153 b,468.0,4.66 Earths,14.979,2018,Super Earth,2.0 x Earth,0.0614 AU,7.5 days,0.0
1087,K2-154 b,423.0,4.62 Earths,14.033,2018,Super Earth,1.99 x Earth,0.0405 AU,3.7 days,0.0
1088,K2-154 c,423.0,4.94 Earths,14.033,2018,Super Earth,2.07 x Earth,0.0677 AU,8 days,0.0
1089,K2-155 b,267.0,3.89 Earths,12.806,2018,Super Earth,1.8 x Earth,0.0562 AU,6.3 days,0.0
1090,K2-155 c,267.0,7.27 Earths,12.806,2018,Neptune-like,0.232 x Jupiter,0.0946 AU,13.9 days,0.0
1091,K2-155 d,267.0,4.27 Earths,12.806,2018,Super Earth,1.9 x Earth,0.1937 AU,40.7 days,0.0
1092,K2-156 b,491.0,1.6 Earths,13.424,2018,Super Earth,1.15 x Earth,0.0149 AU,0.8 days,0.0
1093,K2-157 b,981.0,1.18 Earths,12.823,2018,Super Earth,1.055 x Earth,Unknown,0.4 days,0.0
1094,K2-158 b,647.0,7.46 Earths,11.774,2018,Neptune-like,0.236 x Jupiter,0.0887 AU,10.1 days,0.0
1095,K2-158 c,647.0,2.18 Earths,11.774,2018,Super Earth,1.28 x Earth,0.0622 AU,5.9 days,0.0
1096,K2-159 b,561.0,5.73 Earths,11.994,2018,Neptune-like,0.202 x Jupiter,0.1013 AU,12.4 days,0.0
1097,K2-15 b,1634.0,6.71 Earths,14.663,2015,Neptune-like,0.221 x Jupiter,0.091 AU,11.8 days,0.0
1098,K2-160 b,1038.0,10.2 Earths,12.649,2018,Neptune-like,0.284 x Jupiter,Unknown,3.7 days,0.0
1099,K2-161 b,3070.0,31.1 Earths,12.631,2018,Neptune-like,0.546 x Jupiter,Unknown,9.3 days,0.0
1100,K2-155 c,267.0,7.27 Earths,12.806,2018,Neptune-like,0.232 x Jupiter,0.0946 AU,13.9 days,0.0
1101,K2-155 d,267.0,4.27 Earths,12.806,2018,Super Earth,1.9 x Earth,0.1937 AU,40.7 days,0.0
1102,K2-156 b,491.0,1.6 Earths,13.424,2018,Super Earth,1.15 x Earth,0.0149 AU,0.8 days,0.0
1103,K2-157 b,981.0,1.18 Earths,12.823,2018,Super Earth,1.055 x Earth,Unknown,0.4 days,0.0
1104,K2-158 b,647.0,7.46 Earths,11.774,2018,Neptune-like,0.236 x Jupiter,0.0887 AU,10.1 days,0.0
1105,K2-158 c,647.0,2.18 Earths,11.774,2018,Super Earth,1.28 x Earth,0.0622 AU,5.9 days,0.0
1106,K2-159 b,561.0,5.73 Earths,11.994,2018,Neptune-like,0.202 x Jupiter,0.1013 AU,12.4 days,0.0
1107,K2-15 b,1634.0,6.71 Earths,14.663,2015,Neptune-like,0.221 x Jupiter,0.091 AU,11.8 days,0.0
1108,K2-160 b,1038.0,10.2 Earths,12.649,2018,Neptune-like,0.284 x Jupiter,Unknown,3.7 days,0.0
1109,K2-161 b,3070.0,31.1 Earths,12.631,2018,Neptune-like,0.546 x Jupiter,Unknown,9.3 days,0.0
1110,K2-16 b,1103.0,4.74 Earths,14.67,2015,Super Earth,2.02 x Earth,0.0667 AU,7.6 days,0.0
1111,K2-16 c,1103.0,6.99 Earths,14.67,2015,Neptune-like,0.227 x Jupiter,0.1229 AU,19.1 days,0.0
1112,K2-170 b,1296.0,2.6 Earths,12.633,2018,Super Earth,1.418 x Earth,Unknown,7.6 days,0.0
1113,K2-170 c,1296.0,3.9 Earths,12.633,2018,Super Earth,1.802 x Earth,Unknown,12.4 days,0.0
1114,K2-171 b,2011.0,7.69 Earths,12.66,2018,Neptune-like,0.24 x Jupiter,Unknown,5.6 days,0.0
1115,K2-172 b,820.0,3.42 Earths,12.438,2018,Super Earth,1.666 x Earth,Unknown,14.3 days,0.0
1116,K2-172 c,820.0,10.4 Earths,12.438,2018,Neptune-like,0.286 x Jupiter,Unknown,29.6 days,0.0
1117,K2-173 b,751.0,3.22 Earths,12.403,2018,Super Earth,1.608 x Earth,Unknown,5.9 days,0.0
1118,K2-174 b,327.0,7.27 Earths,12.424,2018,Neptune-like,0.232 x Jupiter,0.126 AU,19.6 days,0.0
1119,K2-175 b,812.0,4.81 Earths,10.836,2018,Super Earth,2.038 x Earth,Unknown,9.5 days,0.0
1120,K2-176 b,812.0,2.83 Earths,12.893,2018,Super Earth,1.491 x Earth,Unknown,5.3 days,0.0
1121,K2-177 b,1628.0,5.13 Earths,12.645,2018,Neptune-like,2.116 x Earth,Unknown,14.2 days,0.0
1122,K2-178 b,705.0,12.4 Earths,12.403,2018,Neptune-like,0.317 x Jupiter,Unknown,8.7 days,0.0
1123,K2-179 b,626.0,6.86 Earths,12.956,2018,Neptune-like,0.224 x Jupiter,Unknown,5.2 days,0.0
1124,K2-17 b,410.0,5.6 Earths,13.519,2015,Neptune-like,2.23 x Earth,0.119 AU,18 days,0.18
1125,K2-180 b,667.0,5.95 Earths,12.601,2018,Neptune-like,0.206 x Jupiter,0.0753 AU,8.9 days,0.0
1126,K2-181 b,1190.0,8.45 Earths,12.749,2018,Neptune-like,0.253 x Jupiter,0.0706 AU,6.9 days,0.0
1127,K2-182 b,509.0,8.05 Earths,11.997,2018,Neptune-like,0.246 x Jupiter,0.0529 AU,4.7 days,0.0
1128,K2-183 b,1082.0,7.27 Earths,12.846,2018,Neptune-like,0.232 x Jupiter,Unknown,0.5 days,0.0
1129,K2-183 c,1082.0,8.6 Earths,12.846,2018,Neptune-like,0.256 x Jupiter,0.0932 AU,10.8 days,0.0
1130,K2-183 d,1082.0,8.55 Earths,12.846,2018,Neptune-like,0.255 x Jupiter,0.1527 AU,22.6 days,0.0
1131,K2-184 b,247.0,3.02 Earths,10.345,2018,Super Earth,1.55 x Earth,0.1229 AU,17 days,0.0
1132,K2-185 b,882.0,2.28 Earths,12.215,2018,Super Earth,1.313 x Earth,Unknown,10.6 days,0.0
1133,K2-186 b,1089.0,10.2 Earths,12.307,2018,Neptune-like,0.283 x Jupiter,Unknown,41.5 days,0.0
1134,K2-187 b,1088.0,2.24 Earths,13.081,2018,Super Earth,1.3 x Earth,0.0164 AU,0.8 days,0.0
1135,K2-187 c,1088.0,3.89 Earths,13.081,2018,Super Earth,1.8 x Earth,0.0392 AU,2.9 days,0.0
1136,K2-187 d,1088.0,10.2 Earths,13.081,2018,Neptune-like,0.283 x Jupiter,0.072 AU,7.1 days,0.0
1137,K2-187 e,1088.0,6.26 Earths,13.081,2018,Neptune-like,0.212 x Jupiter,0.1106 AU,13.6 days,0.0
1138,K2-188 b,1477.0,2.39 Earths,12.646,2018,Super Earth,1.35 x Earth,0.0289 AU,1.7 days,0.0
1139,K2-188 c,1477.0,8.4 Earths,12.646,2018,Neptune-like,0.252 x Jupiter,0.0785 AU,7.8 days,0.0
1140,K2-189 b,796.0,2.92 Earths,12.399,2018,Super Earth,1.52 x Earth,0.0361 AU,2.6 days,0.0
1141,K2-189 c,796.0,6.8 Earths,12.399,2018,Neptune-like,0.223 x Jupiter,0.068 AU,6.7 days,0.0
1142,K2-18 b,124.0,8.92 Earths,13.496,2015,Super Earth,0.211 x Jupiter,0.1429 AU,32.9 days,0.2
1143,K2-18 c,124.0,7.51 Earths,13.496,2017,Neptune-like,0.236 x Jupiter,0.06 AU,9 days,< 0.47
1144,K2-190 b,527.0,2.41 Earths,11.138,2018,Super Earth,1.357 x Earth,Unknown,10.1 days,0.0
1145,K2-190 c,527.0,1.34 Earths,11.138,2018,Super Earth,1.093 x Earth,Unknown,21.6 days,0.0
1146,K2-191 b,945.0,3.12 Earths,13.258,2018,Super Earth,1.579 x Earth,Unknown,2.9 days,0.0
1147,K2-192 b,731.0,2.92 Earths,12.704,2018,Super Earth,1.52 x Earth,0.049 AU,4.2 days,0.0
